elementName	stage1-3	stage13-16	stage4-6	stage9-10	stage11-12	stage7-8	allTerms
VT54843.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium; FBbt:00005662,embryonic central brain; FBbt:00005542,central brain primordium; FBbt:00001102,ventral nerve cord"
VT54843.2		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium; FBbt:00005662,embryonic central brain; FBbt:00005542,central brain primordium; FBbt:00001102,ventral nerve cord"
VT54844.1		"FBbt:00001102,ventral nerve cord; FBbt:00005096,stomatogastric nervous system; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00005436,trunk mesoderm anlage; FBbt:00018002,stomatogastric nervous system anlage"	"FBbt:00005536,stomatogastric nervous system primordium; FBbt:00005526,dorsal epidermis primordium; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00005536,stomatogastric nervous system primordium; FBbt:00018002,stomatogastric nervous system anlage; FBbt:00005526,dorsal epidermis primordium; FBbt:00005436,trunk mesoderm anlage; FBbt:00005096,stomatogastric nervous system; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"
VT54844.2		"FBbt:00001102,ventral nerve cord; FBbt:00005096,stomatogastric nervous system; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00005436,trunk mesoderm anlage; FBbt:00018002,stomatogastric nervous system anlage"	"FBbt:00005536,stomatogastric nervous system primordium; FBbt:00005526,dorsal epidermis primordium; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00005536,stomatogastric nervous system primordium; FBbt:00018002,stomatogastric nervous system anlage; FBbt:00005526,dorsal epidermis primordium; FBbt:00005436,trunk mesoderm anlage; FBbt:00005096,stomatogastric nervous system; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"
VT54844.3		"FBbt:00001102,ventral nerve cord; FBbt:00005096,stomatogastric nervous system; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00005436,trunk mesoderm anlage; FBbt:00018002,stomatogastric nervous system anlage"	"FBbt:00005536,stomatogastric nervous system primordium; FBbt:00005526,dorsal epidermis primordium; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00005536,stomatogastric nervous system primordium; FBbt:00018002,stomatogastric nervous system anlage; FBbt:00005526,dorsal epidermis primordium; FBbt:00005436,trunk mesoderm anlage; FBbt:00005096,stomatogastric nervous system; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"
VT54845.1		FBbt:00005662,embryonic central brain	FBbt:00005436,trunk mesoderm anlage	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:00005436,trunk mesoderm anlage	"FBbt:00015256,central brain anlage; FBbt:00005436,trunk mesoderm anlage; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium; FBbt:00005662,embryonic central brain"
VT54845.2		FBbt:00005662,embryonic central brain	FBbt:00005436,trunk mesoderm anlage	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:00005436,trunk mesoderm anlage	"FBbt:00015256,central brain anlage; FBbt:00005436,trunk mesoderm anlage; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium; FBbt:00005662,embryonic central brain"
VT54846.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:00000210,anterior endoderm anlage	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	"FBbt:00004204,ventral ectoderm anlage; FBbt:00000210,anterior endoderm anlage"	"FBbt:00015256,central brain anlage; FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00000210,anterior endoderm anlage; FBbt:00004204,ventral ectoderm anlage; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"
VT54846.2		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:00000210,anterior endoderm anlage	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	"FBbt:00004204,ventral ectoderm anlage; FBbt:00000210,anterior endoderm anlage"	"FBbt:00015256,central brain anlage; FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00000210,anterior endoderm anlage; FBbt:00004204,ventral ectoderm anlage; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"
VT54883.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00001102,ventral nerve cord; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium; FBbt:00005662,embryonic central brain"
VT54883.2		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00001102,ventral nerve cord; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium; FBbt:00005662,embryonic central brain"
VT54905.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	"FBbt:00000109,mesectoderm anlage; FBbt:00015252,antennal anlage in statu nascendi; FBbt:00015249,dorsal head epidermis anlage in statu nascendi; FBbt:00005415,central brain anlage in statu nascendi; FBbt:00000210,anterior endoderm anlage; FBbt:00005425,visual anlage in statu nascendi"	"FBbt:00015256,central brain anlage; FBbt:00005554,ventral nerve cord primordium"	FBbt:00000155,embryonic head	FBbt:00005548,head mesoderm anlage	"FBbt:00015256,central brain anlage; FBbt:00000109,mesectoderm anlage; FBbt:00015252,antennal anlage in statu nascendi; FBbt:00001102,ventral nerve cord; FBbt:00005554,ventral nerve cord primordium; FBbt:00015249,dorsal head epidermis anlage in statu nascendi; FBbt:00005415,central brain anlage in statu nascendi; FBbt:00005548,head mesoderm anlage; FBbt:00005662,embryonic central brain; FBbt:00000210,anterior endoderm anlage; FBbt:00005425,visual anlage in statu nascendi; FBbt:00000155,embryonic head"
VT54907.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00005828,embryonic head sensory system"	FBbt:00004204,ventral ectoderm anlage	FBbt:00005554,ventral nerve cord primordium	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	"FBbt:00005428,dorsal ectoderm anlage; FBbt:00004204,ventral ectoderm anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00005828,embryonic head sensory system; FBbt:00004204,ventral ectoderm anlage; FBbt:00005428,dorsal ectoderm anlage; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"
